actualOpType,predOpType,rewards,opPredPerc,foundOpPredPerc,killedByOpPerc
0,0,-10.0001,0.281,0.282828,0
0,0,-6.21012,0.312771,0.310962,0
1,0,-5.60001,0.327402,0.324723,1
2,0,-0.99,0.346535,0.296296,1
0,0,-8.99013,0.353,0.360204,0
1,0,-7.98009,0.478,0.479381,0
0,0,-8.99013,0.471,0.473469,0
1,0,-8.99011,0.538,0.540816,0
0,0,-7.98011,0.588,0.587629,0
1,0,-5.54001,0.604317,0.606343,1
0,0,-8.99013,0.69,0.688776,0
1,0,-8.99013,0.737,0.739796,0
2,0,-8.99013,0.751,0.752041,0
0,0,-8.86008,0.76464,0.766129,1
1,0,-2.69,0.763986,0.761993,0
0,0,-5.27001,0.763705,0.770138,1
1,0,-3.29,0.773148,0.776119,1
0,0,-4.88,0.771429,0.774468,1
1,0,-8.99011,0.773,0.773469,0
2,0,-5.19002,0.778135,0.780405,1
0,0,-2.34,0.771186,0.782407,1
1,0,-5.63008,0.792148,0.791866,0
0,0,-2.12,0.778761,0.786408,1
1,0,-3.03,0.784314,0.783505,1
0,0,-10.0001,0.784,0.785859,0
1,0,-4.41,0.78655,0.786145,1
0,0,-3.21,0.788288,0.787736,1
1,0,-1.96,0.793814,0.781609,1
0,0,-5.66001,0.772887,0.773723,1
1,0,-8.99011,0.773,0.773469,0
0,0,-5.28,0.777358,0.780392,1
1,0,-8.94011,0.791374,0.792141,1
2,0,-3.69,0.788889,0.788462,1
0,0,-7.98011,0.818,0.817526,0
1,0,-4.47004,0.809333,0.809722,0
0,0,-3.15,0.815789,0.814433,1
1,0,-6.58003,0.829172,0.830369,1
2,0,-5.82008,0.79548,0.796491,0
0,0,-5.29,0.786047,0.785714,1
1,0,-8.99013,0.777,0.776531,0
0,0,-2.82,0.781421,0.786127,1
1,0,-8.99011,0.77,0.771429,0
0,0,-3.41,0.789256,0.784483,1
1,0,-4.14,0.796905,0.800821,1
2,0,-7.98011,0.778,0.779381,0
0,0,-2.75,0.778409,0.789157,1
1,0,-7.98009,0.882,0.887629,0
0,0,-6.91006,0.779221,0.780089,1
1,0,-4.65,0.790493,0.791822,1
2,0,-1.65,0.787879,0.785714,1
0,0,-8.17008,0.846739,0.851685,1
0,0,-1.71,0.79927,0.807377,1
0,0,-6.77004,0.776141,0.778452,1
0,0,-7.98013,0.852,0.854639,0
0,0,-3.57,0.785515,0.787611,1
0,0,-4,0.776119,0.782723,1
0,0,-5.90011,0.802912,0.80533,0
1,0,-1.44,0.844444,0.828571,1
0,0,-6.42006,0.801342,0.802797,1
1,0,-2.23,0.786667,0.785366,1
0,0,-1.83,0.77381,0.77027,1
1,0,-2.43,0.849711,0.857595,1
0,0,-1.08,0.800948,0.812155,1
1,0,-7.98009,0.898,0.903093,0
2,0,-3.35,0.789317,0.791798,1
0,0,-3.36,0.772189,0.779874,1
0,0,-6.56003,0.775076,0.774295,1
1,0,-5.06001,0.783251,0.787565,1
2,0,-1.82,0.771084,0.780822,1
0,0,-2.01,0.84127,0.848101,0
1,0,-2.94,0.8,0.805405,1
2,0,-1.29,0.8,0.85,1
0,0,-1.79,0.775,0.785714,1
1,0,-1.39,0.775,0.8,1
2,0,-7.77006,0.770218,0.772069,1
0,0,-7.70008,0.783679,0.784574,1
1,0,-2.78,0.798623,0.796733,0
2,0,-3.26,0.780488,0.782468,1
0,0,-3.96002,0.846924,0.852018,0
1,0,-1.47,0.854167,0.842105,1
2,0,-1.88,0.797753,0.78481,1
0,0,-4.37,0.784024,0.786585,1
0,0,-2.96,0.781879,0.78777,1
1,0,-1.89,0.777778,0.7875,1
0,0,-7.90009,0.784091,0.784974,1
0,0,-2.75,0.779783,0.782101,1
1,0,-2.22,0.776786,0.789216,1
0,0,-1.28,0.758621,0.789474,1
0,0,-1.62,0.892473,0.903448,0
1,0,-1.3,0.806452,0.809524,1
2,0,-5.03,0.794554,0.794416,1
0,0,-1.36,0.783784,0.777778,1
1,0,-1.53,0.777778,0.795455,1
2,0,-2.9,0.773973,0.779412,1
0,0,-1.48,0.77551,0.794872,1
0,0,-6.54008,0.876698,0.880259,0
1,0,-2.23,0.83871,0.850877,1
2,0,-3.2,0.779503,0.784768,1
0,0,-7.98009,0.884,0.887629,0
1,0,-5.33,0.783178,0.784466,1
0,0,-3.73,0.781333,0.783099,1
1,0,0.100002,0.822526,0.8327,0
2,0,-7.98011,0.788,0.789691,0
0,0,-1.84,0.847059,0.853333,1
0,0,-0.969997,0.815,0.818919,0
1,0,-5.3701,0.816667,0.820988,0
2,0,-6.0501,0.82489,0.826879,0
0,0,-1.58,0.830508,0.836735,1
1,0,-3.01,0.806931,0.807292,1
2,0,-1.31,0.774436,0.761062,1
0,0,-5.05001,0.783037,0.784394,1
1,0,-1.31,0.75,0.818182,1
0,0,-1.23,0.833333,0.833333,0
1,0,-2.95,0.836683,0.839674,1
2,0,-4.01005,0.835227,0.838279,0
0,0,-2.62,0.838356,0.835821,1
1,0,0.350001,0.858209,0.869748,0
0,0,-1.22,0.826087,0.846154,1
1,0,-3.54,0.80618,0.803571,1
0,0,-7.98011,0.803,0.802062,0
1,0,-8.99013,0.791,0.791837,0
2,0,-5.14,0.782946,0.782258,1
0,0,-7.98013,0.832,0.834021,0
0,0,-3.79,0.832143,0.833333,1
1,0,-1.3,0.824034,0.832512,1
2,0,-0.82,0.845238,0.875,1
0,0,-1.63,0.84375,0.851852,1
1,0,-2.09,0.805687,0.806283,1
0,0,-1.01,0.940594,0.946524,0
0,0,-1.24,0.863436,0.873096,1
1,0,-0.739997,0.856764,0.867435,0
2,0,-1.45,0.847826,0.888889,1
0,0,-1.23,0.875,0.857143,1
1,0,-1.32,0.848485,0.869565,1
2,0,-2.41,0.794239,0.798206,1
0,0,0.530001,0.86,0.877273,0
1,0,-1.61,0.829545,0.837607,1
2,0,-1.15,0.8125,0.666667,1
0,0,-1.49,0.794702,0.78626,1
1,0,-4.50003,0.944223,0.952974,0
0,0,-1.36,0.783784,0.814815,1
1,0,-1.01,0.834951,0.855422,1
0,0,-5.44001,0.907264,0.91248,1
1,0,-1.19,0.855856,0.859375,1
0,0,-4.46,0.821494,0.822736,1
1,0,-1.31,0.875,0.863636,1
2,0,-0.309998,0.844311,0.848684,0
0,0,0.530001,0.884,0.890909,0
0,0,1.16,0.882353,0.898089,0
1,0,-1.18,0.789474,0.888889,1
2,0,-6.37003,0.801115,0.801136,1
0,0,-1.4,0.814898,0.818402,0
0,0,-2.26,0.850394,0.854701,1
0,0,-0.279998,0.873112,0.880399,0
0,0,-0.319997,0.892537,0.895082,0
0,0,1.23,0.883333,0.9,0
1,0,-1.58,0.847458,0.857143,1
0,0,-0.369998,0.911765,0.922581,0
1,0,-1.54,0.872727,0.866667,1
0,0,-0.849997,0.82732,0.826816,0
1,0,-2.86,0.834225,0.836158,1
2,0,-1.34,0.771429,0.8,1
0,0,-0.299999,0.789474,0.796117,1
1,0,-1.56,0.842105,0.87234,1
0,0,-1.39,0.775,0.8,1
1,0,-1.77,0.776536,0.773585,1
2,0,-2.57,0.76834,0.774059,1
0,0,-2.62,0.780303,0.782787,1
0,0,-2.27,0.839394,0.84,1
0,0,-9.07011,0.806381,0.807649,1
0,0,-1.56,0.872587,0.882096,1
1,0,-1.22,0.826087,0.923077,1
0,0,-0.93,0.852632,0.853333,1
0,0,-0.919999,0.871795,0.890909,1
1,0,-2.08,0.842857,0.852632,1
